Webwork Section,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
,,_Jf7QD0G0X3t4g650OVkgc,,BA-Basics,,,,,
"Rational expressions: add, subtract",10e,mNQscjxJnWIuyqAcGpAtR,_bMuHW2q7QCz0BJBtlVe8W,,Local test page in collection,,,,
"Rational expressions: add, subtract",10e,_69HvIhRZucmG9uqAK7lFW,_Jf7QD0G0X3t4g650OVkgc,,1. BA-Basics: Simplify the difference of two rational expressions,,,,
Simplify rational expressions,10f,_qSdf0TH4fuk7uim4aZ4Sv,_Jf7QD0G0X3t4g650OVkgc,,2. BA-Basics: Simplify by rationalizing the denominator,,,,
Difference quotient,6g,_UsxbiTE5lGJVeahnO5biQ,_Jf7QD0G0X3t4g650OVkgc,,3. BA-Basics: Avg rate of change of a function,,,,
Simplifying expressions,1e,_2uJ3gVfhUqE3OyM5WQ59m,_Jf7QD0G0X3t4g650OVkgc,,4. BA-Basics: Distribute and combine like terms to solve for x,,,,
Factoring trinomials,5c,_w2v1MaLW0lIhnx5lF5EpS,_Jf7QD0G0X3t4g650OVkgc,,5. BA-Basics: Factoring a trinomial (graphing tool),,,,
Factoring by grouping,5b,_0uYA4ZELsaExJHLAC9gAK,_Jf7QD0G0X3t4g650OVkgc,,6. BA-Basics: Factor a cubic with grouping,,,,
Factoring trinomials,5c,_CLiI3CvdTShDZhugjc4rD,_Jf7QD0G0X3t4g650OVkgc,,7. BA-Basics: Factor a quadratic; a not equal to 1,,,,
Simplify rational expressions,10f,_Z10oYCHnh8Ps2XUXUPwqh,_Jf7QD0G0X3t4g650OVkgc,,8. BA-Basics: Factor and simplify rational expression,,,,
Factoring trinomials,5c,_weOqumJbApsjnJahV5Cgj,_Jf7QD0G0X3t4g650OVkgc,,9. BA-Basics: Factoring a trinomial (link to alg. applet),,,,
Simplify rational expressions,10f,_KXv7TFmfm3XRUUeRQZQIg,_Jf7QD0G0X3t4g650OVkgc,,Problem 10: BA-Basics,,,,
Factoring trinomials,5c,_zPCJaW3L9f7Si6d3BfopQ,_Jf7QD0G0X3t4g650OVkgc,,Problem 11: BA-Basics,,,,
Factoring trinomials,5c,_zj69EiXuW02FYaSyaFFpi,_Jf7QD0G0X3t4g650OVkgc,,Problem 12: BA-Basics,,,,
Factoring trinomials,5c,_QHhzXXOwdExQKbXaPI85Y,_Jf7QD0G0X3t4g650OVkgc,,Problem 13: BA-Basics,,,,
Factoring trinomials,5c,_7OrFV0XMfTekzVzyqNUeP,_Jf7QD0G0X3t4g650OVkgc,,Problem 15: BA-Basics,,,,
Factoring trinomials,5c,_dr6uHHYiO55NqmUbe3LQN,_Jf7QD0G0X3t4g650OVkgc,,Problem 16: BA-Basics,,,,
Factoring: special forms,5d,_PcrjSMtu8qviRh8r6SUBT,_Jf7QD0G0X3t4g650OVkgc,,Problem 17: BA-Basics,,,,
Factoring: special forms,5d,_2nh6VF2maYBbZS9VeHmNa,_Jf7QD0G0X3t4g650OVkgc,,Problem 18: BA-Basics,,,,
Factoring: special forms,5d,_1eoIx29QbRkcqD1pRWmkU,_Jf7QD0G0X3t4g650OVkgc,,Problem 19: BA-Basics,,,,
Factoring: special forms,5d,_OQdmzJDDb0K8RHiewr5Lh,_Jf7QD0G0X3t4g650OVkgc,,Problem 20: BA-Basics,,,,
Factoring: special forms,5d,_MZhNJslwphx8N5Wvj7avR,_Jf7QD0G0X3t4g650OVkgc,,Problem 21: BA-Basics,,,,
Factoring by grouping,5b,_3hOfbEFXtFLriW7Mj7rhr,_Jf7QD0G0X3t4g650OVkgc,,Problem 22: BA-Basics,,,,
Factoring by grouping,5b,_2YhjAXrnaqN0MdGYo9h5G,_Jf7QD0G0X3t4g650OVkgc,,Problem 23: BA-Basics,,,,
Factoring by grouping,5b,_i2ABNwsYfyCcegHGXVLz6,_Jf7QD0G0X3t4g650OVkgc,,Problem 24: BA-Basics,,,,
Factoring by grouping,5b,_szPV8nAsWje5Ua5FkWfVK,_Jf7QD0G0X3t4g650OVkgc,,Problem 25: BA-Basics,,,,
Factoring by grouping,5b,_3zgWEXvdJWnJkCgHC1U9l,_Jf7QD0G0X3t4g650OVkgc,,Problem 26: BA-Basics,,,,
Simplifying expressions,"1e, 15a",_3rWRJWbhqgOp4dfOPZCtH,_Jf7QD0G0X3t4g650OVkgc,,27. BA-Basics - reduce a fraction,,,,
Simplifying expressions,"1e, 15a",_xtrd5Y8TvfftglLm6u9Wv,_Jf7QD0G0X3t4g650OVkgc,,28. BA-Basics - reduce a fraction,,,,
Simplifying expressions,"1e, 15a",_pxVc1jhXjUlByKk62VHQo,_Jf7QD0G0X3t4g650OVkgc,,29: BA-Basics - multiply then reduce,,,,
Simplifying expressions,"1e, 15a",_7LRGIbrd4L8LOIZYSaVl1,_Jf7QD0G0X3t4g650OVkgc,,30. BA-Basics - divide then reduce,,,,
Simplifying expressions,"1e, 15a",_jFbuLilxomcve5Mxi62a1,_Jf7QD0G0X3t4g650OVkgc,,31. BA-Basics - add fractions then simplify,,,,
Simplifying expressions,"1e, 15a",_LVq07kSMaKqIVn0me1NpY,_Jf7QD0G0X3t4g650OVkgc,,32. BA-Basics - subtract fractions then simplify,,,,
#N/A,,_LHuhcnfChzw1MQd4sEuiG,_Jf7QD0G0X3t4g650OVkgc,,Problem 33: BA-Basics,,,,
#N/A,,_FxMH7XD58yjf0DStSiL3C,_Jf7QD0G0X3t4g650OVkgc,,Problem 34: BA-Basics,,,,
#N/A,,_R9Dk4H2jzybPXv9cHNSKy,_Jf7QD0G0X3t4g650OVkgc,,Problem 35: BA-Basics,,,,
#N/A,,_FuHeI9BdqMUKL30xphqwo,_Jf7QD0G0X3t4g650OVkgc,,Problem 36: BA-Basics,,,,
#N/A,,_eCQTbzOAMB30MPUHuQJvG,_Jf7QD0G0X3t4g650OVkgc,,Problem 37: BA-Basics,,,,
#N/A,,_BcyXYqtEGKjf4FKjFWOCN,_Jf7QD0G0X3t4g650OVkgc,,Problem 38: BA-Basics,,,,
#N/A,,_eRh5WVsbrh5BQAO2HMjWk,_Jf7QD0G0X3t4g650OVkgc,,Problem 39: BA-Basics,,,,
#N/A,,_3ijcVwRAJxnfymJWEmWEN,_Jf7QD0G0X3t4g650OVkgc,,Problem 40: BA-Basics,,,,
#N/A,,_ygbsINo9HhyQ90XKFRNBE,_Jf7QD0G0X3t4g650OVkgc,,Problem 41: BA-Basics,,,,
#N/A,,_MyzXDdCVJ5qYx0pSHdytA,_Jf7QD0G0X3t4g650OVkgc,,Problem 42: BA-Basics,,,,
#N/A,,_H71oHPHeTWOOF1N3IGc31,_Jf7QD0G0X3t4g650OVkgc,,Problem 43: BA-Basics,,,,
#N/A,,_cnoV0x1zHIspBdNRgGdRA,_Jf7QD0G0X3t4g650OVkgc,,Problem 44: BA-Basics,,,,
#N/A,,_iVqe8JPx3yyrLVMCLs9vZ,_Jf7QD0G0X3t4g650OVkgc,,Problem 45: BA-Basics,,,,
#N/A,,_k5dYJaBWdM1heFJNtgsGh,_Jf7QD0G0X3t4g650OVkgc,,Problem 46: BA-Basics,,,,
#N/A,,_CzcGor3QRgGOdnhC8pr7t,_Jf7QD0G0X3t4g650OVkgc,,Problem 47: BA-Basics,,,,
#N/A,,_EOStW4M74lil2RxfW50gK,_Jf7QD0G0X3t4g650OVkgc,,Problem 48: BA-Basics,,,,
#N/A,,_QvafvsVjCp9aHGNuzAC8k,_Jf7QD0G0X3t4g650OVkgc,,Problem 49: BA-Basics,,,,
#N/A,,_5yojTmn6uC7YCApPhR74K,_Jf7QD0G0X3t4g650OVkgc,,Problem 50: BA-Basics,,,,
#N/A,,_PN9NpJUT3Y43ZTShSGr2u,_Jf7QD0G0X3t4g650OVkgc,,Problem 51: BA-Basics,,,,
#N/A,,_6Hrt2cVIgXm6ZwbRY52wz,_Jf7QD0G0X3t4g650OVkgc,,Problem 52: BA-Basics,,,,
#N/A,,_nq5UREqRvlqZ1IpX0pvYh,_Jf7QD0G0X3t4g650OVkgc,,Problem 53: BA-Basics,,,,
#N/A,,_PaVduHoVcODRZ4T6wX559,_Jf7QD0G0X3t4g650OVkgc,,Problem 54: BA-Basics,,,,
#N/A,,_3ZAstt07e7iUgcPQU6P6i,_Jf7QD0G0X3t4g650OVkgc,,Problem 55: BA-Basics,,,,
