Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
,,,_Jf7QD0G0X3t4g650OVkgc,,BA-Basics,,,,,
"Rational expressions: add, subtract",https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_69HvIhRZucmG9uqAK7lFW,10e,_69HvIhRZucmG9uqAK7lFW,_Jf7QD0G0X3t4g650OVkgc,,1. BA-Basics: Simplify the difference of two rational expressions,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_qSdf0TH4fuk7uim4aZ4Sv,10f,_qSdf0TH4fuk7uim4aZ4Sv,_Jf7QD0G0X3t4g650OVkgc,,2. BA-Basics: Simplify by rationalizing the denominator,,,,
Difference quotient,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_UsxbiTE5lGJVeahnO5biQ,6g,_UsxbiTE5lGJVeahnO5biQ,_Jf7QD0G0X3t4g650OVkgc,,3. BA-Basics: Avg rate of change of a function,,,,
Simplifying expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2uJ3gVfhUqE3OyM5WQ59m,1e,_2uJ3gVfhUqE3OyM5WQ59m,_Jf7QD0G0X3t4g650OVkgc,,4. BA-Basics: Distribute and combine like terms to solve for x,,,,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_w2v1MaLW0lIhnx5lF5EpS,5c,_w2v1MaLW0lIhnx5lF5EpS,_Jf7QD0G0X3t4g650OVkgc,,5. BA-Basics: Factoring a trinomial (graphing tool),,,,
Factoring by grouping,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_0uYA4ZELsaExJHLAC9gAK,5b,_0uYA4ZELsaExJHLAC9gAK,_Jf7QD0G0X3t4g650OVkgc,,6. BA-Basics: Factor a cubic with grouping,,,,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_CLiI3CvdTShDZhugjc4rD,5c,_CLiI3CvdTShDZhugjc4rD,_Jf7QD0G0X3t4g650OVkgc,,7. BA-Basics: Factor a quadratic; a not equal to 1,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Z10oYCHnh8Ps2XUXUPwqh,10f,_Z10oYCHnh8Ps2XUXUPwqh,_Jf7QD0G0X3t4g650OVkgc,,8. BA-Basics: Factor and simplify rational expression,,,,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_weOqumJbApsjnJahV5Cgj,5c,_weOqumJbApsjnJahV5Cgj,_Jf7QD0G0X3t4g650OVkgc,,9. BA-Basics: Factoring a quadratic; a = 1,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_KXv7TFmfm3XRUUeRQZQIg,10f,_KXv7TFmfm3XRUUeRQZQIg,_Jf7QD0G0X3t4g650OVkgc,,Problem 10: BA-Basics,,,,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_zPCJaW3L9f7Si6d3BfopQ,5c,_zPCJaW3L9f7Si6d3BfopQ,_Jf7QD0G0X3t4g650OVkgc,,Problem 11: BA-Basics,,,,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_zj69EiXuW02FYaSyaFFpi,5c,_zj69EiXuW02FYaSyaFFpi,_Jf7QD0G0X3t4g650OVkgc,,Problem 12: BA-Basics,,,,
Factoring trinomials,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_QHhzXXOwdExQKbXaPI85Y,5c,_QHhzXXOwdExQKbXaPI85Y,_Jf7QD0G0X3t4g650OVkgc,,Problem 13: BA-Basics,,,,
